"idcrude","sname","name_en","name_loc1","name_loc2","gname","position","effect","effect_loc","comment","ref"
"S00619","Lycopodium cernuum Herba","Clubmoss","Rumput Kawat","","Lycopodium cernuum L.","Herb","All plant: refresher, lowering blood pressure, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00620","Lycopus lucidus Herba","Bugleweed","Hirsute Shiny Bugleweed","","Lycopus lucidus Turcz. var. hirtus Regel","Herb","Menstrual disorders, amenorrhea, dysmenorrhea, postpatum abdominal pain due to blood stasis ; edema.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00621","Lysimachia christinae Herba","Jin Qian Cao","Christina Loosestrife","","Lysimachia christinae Hance","Herb","Treat gastrointestinal conditions such as diarrhea and dysentery, stop internal and external bleeding, cleanse wounds, sore gums, cancer sores, used to treat nosebleeds, expectorant.","","-","www.herbs2000.com"
"S00622","Macrosolen cochinchinensis Herba","-","Benalu Nangka","","Macrosolen cochinchinensis (Lour.) van Tiegh","Herb","Tumor, cancer, tonsils, measles","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00623","Magnolia officinalis Cortex","Hou Po","Hou Po","","Magnolia officinalis Rehd.","Bark","Accumulation of damp in the spleen and the stomach marked by epigastric stuffiness, vomiting and diarrhea; abdominal distension and constipation due to retention of undigested food; cough and dyspnea caused by retained damp.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00624","Malpighia glabra Fructus","-","Acerola","","Malpighia glabra","Fruit","-","","-","-"
"S00625","Malus domestica Fructus","Apple","Apel","","Malus domestica","Fruit","Fruit: high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00626","Malus sylvestris Fructus","Apple","Apel","","Malus sylvestris","Fruit","Fruit: high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00627","Mangifera indica Fructus","Mango","Mangga","","Mangifera indica L.","Fruit","Seed: helminthic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00628","Manihot utilissima Amylum","Tapioca","Ubi Singkong","","Manihot utilissima Pohl.","Flour","Tuber: ulcer medication, beri-beri, fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00629","Manihot utilissima Folium","Tapioca","Ubi Singkong","","Manihot utilissima Pohl.","Leaf","Tuber: ulcer medication, beri-beri, fever.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00630","Maoutia setosa Folium","-","Maoutia","","Maoutia setosa Wedd.","Leaf","-","","-","-"
"S00631","Maranta arundinacea Amylum","Arrowroot","Garut","","Maranta arundinacea L.","Flour","Rhizome: diarrhea, rheumatism, colitis.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00632","Maranta arundinacea Rhizoma","Arrowroot","Garut","","Maranta arundinacea L.","Rhizome","Rhizome: diarrhea, rheumatism, colitis.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00633","Marsilea crenata Folium","Water Pennywort","Semanggi","","Marsilea crenata Presl.","Leaf","Leaves and stems: diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00634","Massoia aromatica Cortex","-","Masoyi","","Massoia aromatica Becc.","Bark","Bark: headache drugs, fluor albus, stomach cramps, cathartic, fever, postpartum herbs and stimulants.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00635","Massoia aromatica Lignum","-","Masoyi","","Massoia aromatica Becc.","Wood","Bark: headache drugs, fluor albus, stomach cramps, cathartic, fever, postpartum herbs and stimulants.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00636","Massoia aromatica Rhizoma","-","Masoyi","","Massoia aromatica Becc.","Rhizome","Bark: headache drugs, fluor albus, stomach cramps, cathartic, fever, postpartum herbs and stimulants.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00637","Massoia aromatica Semen","-","Masoyi","","Massoia aromatica Becc.","Seed","Bark: headache drugs, fluor albus, stomach cramps, cathartic, fever, postpartum herbs and stimulants.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00638","Matricaria chamomilla Flos","Chamomile","Teh kembang","","Matricaria chamomilla L.","Flower","Flowers: penghalus skin, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00639","Matricaria chamomilla Oleum","Chamomile","Teh kembang","","Matricaria chamomilla L.","Oil","Flowers: penghalus skin, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00640","Melaleuca alternifolia Oleum","Teatree","Teh Pohon","","Melaleuca alternifolia L.","Oil","Cure coughs, cold, skin diseases, healing cystitis, glandular fever, post-viral fatigue syndromes (ME), fight oral infection and gum diseases, cure sore throats, healing a variety of vaginal yeast infections.","","-","www.herbs2000.com"
"S00641","Melaleuca cajuputi Folium","Cajuput","Kayu putih","","Melaleuca cajuputi Powell","Leaf","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00642","Melaleuca cajuputi Fructus","Cajuput","Kayu putih","","Melaleuca cajuputi Powell","Fruit","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00643","Melaleuca cajuputi Oleum","Cajuput","Kayu putih","","Melaleuca cajuputi Powell","Oil","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00644","Melaleuca leucadendra Folium","Cajuput","Kayu putih","","Melaleuca leucadendra L.","Leaf","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00645","Melaleuca leucadendra Fructus","Cajuput","Kayu putih","","Melaleuca leucadendra L.","Fruit","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00646","Melaleuca leucadendra Oleum","Cajuput","Kayu putih","","Melaleuca leucadendra L.","Oil","Fruit and leaves: cold medicine, body heating.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00647","Melia azedarach Folium","Chinaberry","Mindi","","Melia azedarach L","Leaf","Bark: diarrhea medicine, scabies, eczema. Leaf: abdominal pain, diabetes, increase appetite.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00648","Melia toosenden Fructus","Ku Lian Pi Or Ku Lian Chi (Chinaberry Tree)","Chuan Lian Zhi","","Melia toosenden Sieb. Et Zucc.","Fruit","Distening pain in the chest, hypochondrium and epigastrium; colic in the lower abdomen; abdominal pain due to intestinal parastoisis.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00649","Melilotus officinalis Flos","Yellow Sweet Clover","Yellow Sweet Clover","","Melilotus officinalis","Flower","Help varicose veins and hemorrhoids, reduce the risk of phlebitis and thrombosis, insomnia (especially in children), anxiety, treat gas and indigestion, bronchitis, problems associated with menopause, rheumatic pains.","","-","www.herbs2000.com"
"S00650","Melissa officinalis Folium","Lemonbalm","Lemon Balm","","Melissa officinalis","Leaf","Healing of wounds, to bring relief from palpitations and to relax the heart, to treating toothache and other dental problems, soothe digestive disorders, nausea, vomiting, poor appetite, colic, dysentery, liver and gallbladder, useful in nervousness, excessive anxiety or depression that effects the functioning of the heart, leading to heart pains or other problems like palpitations or an irregular heartbeat, relaxes spasms that cause period pain in the reproductive system of women, aid in regulating menstrual periods, relaxing and strengthening women during the process of childbirth and in bringing on the afterbirth, treatment of headaches, reducing elevated blood pressure, reducing fevers, anti-thyroid activity.","","-","www.herbs2000.com"
"S00651","Mentha arvensis Folium","European Corn Mint","Poko","","Mentha arvensis L","Leaf","All plant: belly salve, cough, diarrhea, dizziness, cold, insomnia, shortness of breath.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00652","Mentha arvensis Herba","European Corn Mint","Poko","","Mentha arvensis L","Herb","All plant: belly salve, cough, diarrhea, dizziness, cold, insomnia, shortness of breath.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00653","Mentha arvensis Oleum","European Corn Mint","Poko","","Mentha arvensis L","Oil","All plant: belly salve, cough, diarrhea, dizziness, cold, insomnia, shortness of breath.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00654","Mentha haplocalyx Herba","Peppermint","Menta","","Mentha haplocalyx","Herb","All plant: belly salve, seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00655","Mentha merdinah Folium","Peppermint","Menta","","Mentha merdinah Back.ex Ochse&Bakh","Leaf","All plant: drug seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00656","Mentha piperita Amylum","Peppermint","Menta","","Mentha piperita L","Flour","All plant: belly salve, seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00657","Mentha piperita Folium","Peppermint","Menta","","Mentha piperita L","Leaf","All plant: belly salve, seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00658","Mentha piperita Herba","Peppermint","Menta","","Mentha piperita L","Herb","All plant: belly salve, seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00659","Mentha piperita Oleum","Peppermint","Menta","","Mentha piperita L","Oil","All plant: belly salve, seizures, cough, diaphoretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00660","Merremia mammosa Folium","-","Bidara Upas","","Merremia mammosa (Lour.) Hall.f.","Leaf","Fever, cough, hoarse, diphtheria, sore throat, pneumonia, inflammation appendicitis, typhoid, constipation, vomiting blood, cancer, diabetes, poisoning, snake bite, leprosy, syphilis (luns)","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00661","Merremia mammosa Rhizoma","-","Bidara Upas","","Merremia mammosa (Lour.) Hall.f.","Rhizome","Fever, cough, hoarse, diphtheria, sore throat, pneumonia, inflammation appendicitis, typhoid, constipation, vomiting blood, cancer, diabetes, poisoning, snake bite, leprosy, syphilis (luns)","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00662","Merremia mammosa Tubera","-","Bidara Upas","","Merremia mammosa (Lour.) Hall.f.","Tuber","Fever, cough, hoarse, diphtheria, sore throat, pneumonia, inflammation appendicitis, typhoid, constipation, vomiting blood, cancer, diabetes, poisoning, snake bite, leprosy, syphilis (luns)","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00663","Mesona palustris Folium","-","Janggelan","","Mesona palustris Bl","Leaf","All plant: fluor albus, abdominal pain.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00664","Messua ferrea Flos","-","Nagasari","","Messua ferrea L.","Flower","Seed: sore medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00665","Messua ferrea Folium","-","Nagasari","","Messua ferrea L.","Leaf","Seed: sore medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00666","Michelia champaca Flos","Champac","Campaka","","Michelia champaca L","Flower","Roots: irregular menstruation. Leaf: rheumatism, tonsil, mouthwash. Flowers: fluor albus and cosmetic ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00667","Microcos paniculata Folium","-","Drewak","","Microcos paniculata L.","Leaf","-","","-","-"
"S00668","Milletia sericea Radix","-","Akar Tuba","","Milletia sericea (Vent.) W. et A.","Root","Stomach pain, wounds, swelling, powder","","-","Handbook of Herbal Medicine"
"S00669","Mimosa pudica Folium","Sensitive Plant","Putri Malu","","Mimosa pudica L.","Leaf","Insomnia, bronchitis, fever, herpes, rheumatism, parasitic worms","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00670","Mimosa pudica Herba","Sensitive Plant","Putri Malu","","Mimosa pudica L.","Herb","Insomnia, bronchitis, fever, herpes, rheumatism, parasitic worms","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00671","Mimusops elengi Folium","-","Tanjung","","Mimusops elengi L","Leaf","Flowers and leaves: childbed fever, shortness of breath, dizzy, sore throat, sprue, inflammation of the nose. Flowers: scabies medicine, eczema, gonorrhea.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00672","Mirabilis jalapa Folium","Four O'Clock","Kembang Pukul Empat","","Mirabilis jalapa L","Leaf","Leaf: ulcer medication. Roots: constipation, swollen. Seed: cosmetics ingredients.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00673","Momordica charantia Folium","Bitter Melon, Balsam Pear","Pare","","Momordica charantia L","Leaf","Leaf: helminthic children, cough, childbed fever, gonorrhea, malaria, nausea, insomnia. Seed: drug injury. Fruit: sprue, increase appetite.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00674","Momordica charantia Fructus","Bitter Melon, Balsam Pear","Pare","","Momordica charantia L","Fruit","Leaf: helminthic children, cough, childbed fever, gonorrhea, malaria, nausea, insomnia. Seed: drug injury. Fruit: sprue, increase appetite.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00675","Momordica charantia Herba","Bitter Melon, Balsam Pear","Pare","","Momordica charantia L","Herb","Leaf: helminthic children, cough, childbed fever, gonorrhea, malaria, nausea, insomnia. Seed: drug injury. Fruit: sprue, increase appetite.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00676","Momordica charantia Semen","Bitter Melon, Balsam Pear","Pare","","Momordica charantia L","Seed","Leaf: helminthic children, cough, childbed fever, gonorrhea, malaria, nausea, insomnia. Seed: drug injury. Fruit: sprue, increase appetite.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00677","Momordica grosvenori Fructus","Lo Han Kuo","Lo Han Kuo","","Momordica grosvenori","Fruit","Dry cough, sore throat and hoarseness of voice due to heat in the lung; constipation.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00678","Morinda citrifolia Folium","Noni, Indian Mulberry","Mengkudu","","Morinda citrifolia L","Leaf","Fruit and leaves: cough, colitis. Leaf: cold, tonsil, heartburn, diabetes.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00679","Morinda citrifolia Fructus","Noni, Indian Mulberry","Mengkudu","","Morinda citrifolia L","Fruit","Fruit and leaves: cough, colitis. Leaf: cold, tonsil, heartburn, diabetes.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00680","Morinda citrifolia Radix","Noni, Indian Mulberry","Mengkudu","","Morinda citrifolia L","Root","Fruit and leaves: cough, colitis. Leaf: cold, tonsil, heartburn, diabetes.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00681","Moringa oleifera Folium","Horseradish Tree","Kelor","","Moringa oleifera Lam","Leaf","Roots: seizures, bleeding gums, irregular menstruation, dizziness. Leaf: shortness of breath, gout, beri-beri. Seed: nausea medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00682","Morus alba Cortex","White Mulberry","Murbei","","Morus alba L","Bark","Leaf: diuretic, fever, malaria, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00683","Morus alba Folium","White Mulberry","Murbei","","Morus alba L","Leaf","Leaf: diuretic, fever, malaria, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00684","Morus alba Fructus","White Mulberry","Murbei","","Morus alba L","Fruit","Leaf: diuretic, fever, malaria, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00685","Morus australis Folium","White Mulberry","Murbei","","Morus australis Poir.","Leaf","Leaf: diuretic, fever, malaria, high blood pressure.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00686","Moschosma polystachium Folium","Chaff-Flower","Sangketan","","Moschosma polystachium Benth","Leaf","All plant, especially the root: diuretic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00687","Murraya paniculata Folium","Jiu Li Xiang (Orange Jessamine)","Kemuning","","Murraya paniculata Jacq","Leaf","Leaf: penghalus skin, irregular menstruation. Bark: toothache.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00688","Musa balbisianna Fructus","Pip Banana","Pisang Biji","","Musa balbisianna","Fruit","Ulcus peptic","","-","http://tendean.blogspot.com/2009/04/macam-macam-tumbuhan-dan-manfaatnya.html"
"S00689","Musa paradisiaca Fructus","Banana, Plantain","Pisang","","Musa paradisiaca","Fruit","Bleeding uterus, vagina close up, sprue bowel, ambeien, chicken pox, ear and throat swelling, dysentery, tonsils, stomach cancer, pain yellow (liver), colon bleeding, diarrhea","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00690","Musa paradisiaca Radix","Banana, Plantain","Pisang","","Musa paradisiaca","Root","Bleeding uterus, vagina close up, sprue bowel, ambeien, chicken pox, ear and throat swelling, dysentery, tonsils, stomach cancer, pain yellow (liver), colon bleeding, diarrhea","","-","http://www.iptek.net.id/ind/pd_tanobat/"
"S00691","Myristica argentea Semen","Nutmeg","Pala Irian","","Myristica argentea Warb","Seed","Increasing appetite, reducing nausea, vomiting, diarrhea, gastroenteritis, aphrodisiac, treat rheumatic conditions, eczema and ringworm.","","-","www.herbs2000.com"
"S00692","Myristica fragrans Flos","Nutmeg","Pala","","Myristica fragrans Houtt.","Flower","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00693","Myristica fragrans Fructus","Nutmeg","Pala","","Myristica fragrans Houtt.","Fruit","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00694","Myristica fragrans Oleum","Nutmeg","Pala","","Myristica fragrans Houtt.","Oil","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00695","Myristica fragrans Pericarpium","Nutmeg","Pala","","Myristica fragrans Houtt.","Rind","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00696","Myristica fragrans Rhizoma","Nutmeg","Pala","","Myristica fragrans Houtt.","Rhizome","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00697","Myristica fragrans Semen","Nutmeg","Pala","","Myristica fragrans Houtt.","Seed","Fruit: insomnia drug. Oil seeds: stomach salve medicine.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00698","Myrmecodia tuberosa Tubera","-","Sarang Semut","","Myrmecodia tuberosa","Tuber","-","","-","-"
"S00699","Nasturtium indicum Herba","-","Sawi Lemah","","Nasturtium indicum DC","Herb","All plant: diuretic, jaundice, diarrhea, urinating blood.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00700","Nelumbo nucifera Folium","Lotus","Seroja","","Nelumbo nucifera Gaertn.","Leaf","Protracted diarrhea due to hypofunction of the spleen, seminal emission, leukorrhagia; palpitation, insomnia.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00701","Nelumbo nucifera Semen","Lotus","Seroja","","Nelumbo nucifera Gaertn.","Seed","Protracted diarrhea due to hypofunction of the spleen, seminal emission, leukorrhagia; palpitation, insomnia.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00702","Nicolaia speciosa Flos","-","Kecombrang","","Nicolaia speciosa Horan.","Flower","Flowers: body odor remover, reproduce asi, blood purifier.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00703","Nigella damascena Semen","Love-In-A-Mist","Love-in-a-mist","","Nigella damascena","Seed","Expectorant","","-","http://www.pfaf.org/database/plants.php?Nigella+damascena"
"S00704","Nigella sativa Oleum","Black Cumin","Jinten Hitam","","Nigella sativa L.","Oil","Seed: helminthic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00705","Nigella sativa Semen","Black Cumin","Jinten Hitam","","Nigella sativa L.","Seed","Seed: helminthic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00706","Nothopanax scutellarium Folium","Saucer Leaf, Shell Leaf","Mangkokan","","Nothopanax scutellarium Merr.","Leaf","Sore breasts, hair loss, difficulty urinating, body odor, wound; Swelling and launch expenses milk;","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00707","Nothopanax scutellarium Radix","Saucer Leaf, Shell Leaf","Mangkokan","","Nothopanax scutellarium Merr.","Root","Sore breasts, hair loss, difficulty urinating, body odor, wound; Swelling and launch expenses milk;","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00708","Notopterygium incisum Rhizoma","Qianghuo","Qianghuo","","Notopterygium incisum","Rhizome","Headache in common cold, rheumatic arthralgia and aching of the back and shoulders.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00709","Nyctanthes arbor-tritis Flos","-","Srigading","","Nyctanthes arbor-tritis L","Flower","Flowers and leaves: childbed fever drug, gout, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00710","Nyctanthes arbor-tritis Folium","-","Srigading","","Nyctanthes arbor-tritis L","Leaf","Flowers and leaves: childbed fever drug, gout, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00711","Nyctanthes arbor-tritis Fructus","-","Srigading","","Nyctanthes arbor-tritis L","Fruit","Flowers and leaves: childbed fever drug, gout, diuretic.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00712","Nymphaea pubescens Flos","-","Teratai Putih","","Nymphaea pubescens","Flower","Treats dysentery or diarrhea due to irritable bowel syndrome, treat bronchial congestion and kidney pain, gargle for sore throats, douche for vaginal soreness and discharge, treatment of insomnia, anxiety, and other disorders where nervous agitation is a factor.","","-","www.herbs2000.com"
"S00713","Ocimum basilicum Folium","Basil, Sweet Basil","Selasih","","Ocimum basilicum L","Leaf","Leaf: caminative, emmenagoga, lactagoga, fever, sprue, nausea medicine. Seed: gonorrhea drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00714","Ocimum basilicum Semen","Basil, Sweet Basil","Selasih","","Ocimum basilicum L","Seed","Leaf: caminative, emmenagoga, lactagoga, fever, sprue, nausea medicine. Seed: gonorrhea drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00715","Ocimum polystachyon Folium","Basil, Sweet Basil","Selasih","","Ocimum polystachyon L","Leaf","Leaf: caminative, emmenagoga, lactagoga, fever, sprue, nausea medicine. Seed: gonorrhea drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00716","Ocimum sanctum Folium","Holy Basil","Lampes","","Ocimum sanctum L","Leaf","Leaf: lactagoga, fever, improve digestion.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00717","Oenothera biennis Oleum","Evening Primrose","Evening Primrose","","Oenothera biennis","Oil","whooping cough, digestive problems, asthma, rheumatic disorders, eczema, itching, breast tenderness, elevations in the blood pressure, prevention of clumping in the platelets within the blood during internal hemorrhage and injuries, premenstrual disorders, multiple sclerosis, treatment of rheumatoid arthritis, intermittent claudication, circulatory disorders.","","-","www.herbs2000.com"
"S00718","Olea europaea Oleum","Olive Leaf","Zaitun","","Olea europaea L.","Oil","Reduce blood pressure, enhancing the activity of the blood circulatory system. cystitis, lower intensity of blood sugar, heal gallstones, safeguards digestive system, beneficial for arid skin.","","-","www.herbs2000.com"
"S00719","Ophiopogon japonicus Radix","Snake'S Beard","Ophiopogon Root","","Ophiopogon japonicus (Thunb.) Ker-Gawl.","Root","Dry cough, phthisical cough; thrist due to impairment of body fluid; fidgetness and insommia; diabetes caused by internal heat; constipation; diphtheria.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00720","Opuntia ficus-indica Herba","Prickly Pear","Duri Tentong","","Opuntia ficus-indica","Herb","Trunk: ulcer medication, burns. Fruit: cathartic, freshener body.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00721","Oroxylum indicum Semen","-","Bungli","","Oroxylum indicum (L.) Vent","Seed","Cough, sore throat and hoarseness of voice due to heat in the lung; epigastic pain due to stagnation of qi of the liver and the stomach.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00722","Orthosiphon aristatus Folium","Java Tea","Kumis Kucing","","Orthosiphon aristatus (Blume)","Leaf","Leaf: diuretic, kidney stones, diabetes, high blood pressure, gout.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00723","Orthosiphon grandiflorum Folium","Java Tea","Kumis Kucing","","Orthosiphon grandiflorum et aristatum","Leaf","Leaf: diuretic, kidney stones, diabetes, high blood pressure, gout.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00724","Orthosiphon spicatus Folium","Java Tea","Kumis Kucing","","Orthosiphon spicatus B.B.S.","Leaf","Leaf: diuretic, kidney stones, diabetes, high blood pressure, gout.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00725","Orthosiphon spicatus Herba","Java Tea","Kumis Kucing","","Orthosiphon spicatus B.B.S.","Herb","Leaf: diuretic, kidney stones, diabetes, high blood pressure, gout.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00726","Orthosiphon stamineus Folium","Java Tea","Kumis Kucing","","Orthosiphon stamineus Benth.","Leaf","Leaf: diuretic, kidney stones, diabetes, high blood pressure, gout.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00727","Oryza sativa Amylum","Rice","Padi","","Oryza sativa L.","Flour","Fruit stalk: hair fertilizer. Seed husk: beri-beri drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00728","Oryza sativa Folium","Rice","Padi","","Oryza sativa L.","Leaf","Fruit stalk: hair fertilizer. Seed husk: beri-beri drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00729","Oryza sativa Fructus","Rice","Padi","","Oryza sativa L.","Fruit","Fruit stalk: hair fertilizer. Seed husk: beri-beri drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00730","Oryza sativa Pericarpium","Rice","Padi","","Oryza sativa L.","Rind","Fruit stalk: hair fertilizer. Seed husk: beri-beri drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00731","Oryza sativa Semen","Rice","Padi","","Oryza sativa L.","Seed","Fruit stalk: hair fertilizer. Seed husk: beri-beri drug.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00732","Pachyrrhizus erosus Amylum","-","Bengkoang","","Pachyrrhizus erosus Urb","Flour","Tuber: beri-beri drug, penghalus skin. Leaf: fever. Seed: skin.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00733","Pachyrrhizus erosus Tubera","-","Bengkoang","","Pachyrrhizus erosus Urb","Tuber","Tuber: beri-beri drug, penghalus skin. Leaf: fever. Seed: skin.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00734","Paederia foetida Folium","-","Sembukan","","Paederia foetida L","Leaf","Leaf: heartburn, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00735","Paederia foetida Radix","-","Sembukan","","Paederia foetida L","Root","Leaf: heartburn, sprue.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
